,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
8,50.78251,29.58677,314.86,0.39,0.36,2022-02-27,13,1,VIIRS,n,2.0NRT,269.17,1.45,N
9,50.77927,29.5854,315.2,0.39,0.36,2022-02-27,13,1,VIIRS,n,2.0NRT,268.66,1.2,N
12,50.04528,36.35253,299.83,0.4,0.44,2022-02-27,13,1,VIIRS,n,2.0NRT,268.71,0.85,N
13,50.79641,29.58686,298.3,0.39,0.36,2022-02-27,13,1,VIIRS,n,2.0NRT,266.73,0.99,N
14,50.79134,29.59627,322.76,0.39,0.36,2022-02-27,13,1,VIIRS,n,2.0NRT,270.04,2.44,N
15,50.78668,29.58275,304.59,0.39,0.36,2022-02-27,13,1,VIIRS,n,2.0NRT,267.09,1.08,N
16,50.79408,29.5801,310.25,0.39,0.36,2022-02-27,13,1,VIIRS,n,2.0NRT,268.53,1.54,N
17,50.78992,29.58412,316.69,0.39,0.36,2022-02-27,13,1,VIIRS,n,2.0NRT,268.53,1.54,N
18,49.9722,36.36491,317.78,0.4,0.45,2022-02-27,13,1,VIIRS,n,2.0NRT,269.3,1.58,N
19,50.7955,29.59225,335.29,0.39,0.36,2022-02-27,13,1,VIIRS,n,2.0NRT,269.32,3.1,N
20,50.79459,29.59764,329.35,0.39,0.36,2022-02-27,13,1,VIIRS,n,2.0NRT,269.89,3.1,N
21,50.79733,29.58147,307.25,0.39,0.36,2022-02-27,13,1,VIIRS,n,2.0NRT,267.43,0.99,N
22,49.97094,36.37021,297.39,0.4,0.45,2022-02-27,13,1,VIIRS,n,2.0NRT,268.95,1.58,N
23,50.79875,29.59362,333.77,0.39,0.36,2022-02-27,13,1,VIIRS,n,2.0NRT,268.85,3.1,N
25,50.89787,29.88682,297.52,0.39,0.36,2022-02-27,13,1,VIIRS,n,2.0NRT,267.02,0.49,N
29,50.04615,36.34816,298.54,0.4,0.44,2022-02-27,13,1,VIIRS,n,2.0NRT,268.58,0.64,N
56,47.40398,30.06699,296.34,0.42,0.38,2022-02-27,15,1,VIIRS,n,2.0NRT,269.11,0.54,N
58,47.87783,35.18729,296.04,0.41,0.45,2022-02-27,15,1,VIIRS,n,2.0NRT,265.2,0.7,N
62,48.16402,30.61609,334.88,0.42,0.38,2022-02-27,15,1,VIIRS,n,2.0NRT,277.6,5.96,N
65,47.87097,35.16042,307.99,0.41,0.45,2022-02-27,15,1,VIIRS,n,2.0NRT,267.64,1.63,N
69,47.86169,35.14399,299.31,0.41,0.45,2022-02-27,15,1,VIIRS,n,2.0NRT,267.95,1.02,N
84,46.47096,30.41779,311.56,0.44,0.38,2022-02-27,15,1,VIIRS,n,2.0NRT,269.14,1.54,N
86,46.55534,30.01346,317.41,0.43,0.38,2022-02-27,15,1,VIIRS,n,2.0NRT,267.48,2.15,N
15940,50.84172,29.53918,348.06,0.47,0.48,2022-02-27,1002,1,VIIRS,n,2.0NRT,275.64,4.84,D
15942,50.84584,29.53662,340.58,0.47,0.48,2022-02-27,1002,1,VIIRS,n,2.0NRT,280.38,4.84,D
15943,51.11879,30.12962,343.22,0.44,0.46,2022-02-27,1002,1,VIIRS,n,2.0NRT,279.57,6.53,D
15944,51.12424,30.13307,327.17,0.44,0.46,2022-02-27,1002,1,VIIRS,n,2.0NRT,275.63,1.84,D
15945,51.61155,31.15568,340.22,0.39,0.44,2022-02-27,1002,1,VIIRS,n,2.0NRT,278.62,4.72,D
15950,50.78134,29.58499,354.38,0.47,0.48,2022-02-27,1002,1,VIIRS,n,2.0NRT,288.53,19.02,D
15951,50.80098,29.58726,345.37,0.47,0.48,2022-02-27,1002,1,VIIRS,n,2.0NRT,283.14,7.55,D
15953,50.62907,29.91241,331.22,0.47,0.47,2022-02-27,1002,1,VIIRS,n,2.0NRT,278.84,4.99,D
15954,50.69417,30.04214,331.63,0.46,0.47,2022-02-27,1002,1,VIIRS,n,2.0NRT,278.61,2.47,D
15955,50.69821,30.03957,355.62,0.46,0.47,2022-02-27,1002,1,VIIRS,n,2.0NRT,282.41,8.94,D
15957,50.5433,29.87247,335.67,0.47,0.48,2022-02-27,1002,1,VIIRS,n,2.0NRT,276.99,4.24,D
15958,50.503,30.25301,328.72,0.45,0.47,2022-02-27,1002,1,VIIRS,n,2.0NRT,277.9,3.89,D
15959,50.5334,30.23333,337.07,0.45,0.47,2022-02-27,1002,1,VIIRS,n,2.0NRT,285.03,17.04,D
15962,45.94478,29.62367,356.03,0.33,0.55,2022-02-27,1002,1,VIIRS,n,2.0NRT,285.01,4.14,D
15967,45.94953,29.62103,350.19,0.33,0.55,2022-02-27,1002,1,VIIRS,n,2.0NRT,283.37,4.14,D
15968,47.62002,33.45336,349.84,0.4,0.44,2022-02-27,1002,1,VIIRS,n,2.0NRT,289.33,9.24,D
15972,47.61613,33.45529,350.78,0.4,0.44,2022-02-27,1002,1,VIIRS,n,2.0NRT,284.78,9.24,D
15973,47.62692,34.32684,326.22,0.55,0.43,2022-02-27,1002,1,VIIRS,n,2.0NRT,283.24,4.44,D
15974,47.62691,34.3265,326.47,0.55,0.43,2022-02-27,1002,1,VIIRS,n,2.0NRT,283.73,2.6,D
15975,46.93847,36.8144,328.08,0.47,0.39,2022-02-27,1002,1,VIIRS,n,2.0NRT,281.56,5.3,D
15977,46.81615,33.35381,328.52,0.42,0.45,2022-02-27,1002,1,VIIRS,n,2.0NRT,286.72,3.5,D
15978,46.7016,32.73331,333.52,0.45,0.47,2022-02-27,1002,1,VIIRS,n,2.0NRT,286.24,3.72,D
15980,46.81738,33.35915,329.07,0.42,0.45,2022-02-27,1002,1,VIIRS,n,2.0NRT,284.87,2.49,D
34862,45.75634,28.98328,328.39,0.34,0.56,2022-02-27,1142,1,VIIRS,n,2.0NRT,277.9,2.14,D
34866,47.60828,34.05474,337.55,0.61,0.71,2022-02-27,1142,1,VIIRS,n,2.0NRT,278.54,3.55,D
34874,47.61226,34.05421,342.19,0.61,0.71,2022-02-27,1142,1,VIIRS,n,2.0NRT,278.49,6.88,D
34881,46.9433,32.0911,332.22,0.49,0.65,2022-02-27,1142,1,VIIRS,n,2.0NRT,284.05,4.88,D
34885,47.41261,30.63425,349.55,0.42,0.61,2022-02-27,1142,1,VIIRS,n,2.0NRT,281.93,5.88,D
34886,47.41243,30.62805,334.65,0.42,0.61,2022-02-27,1142,1,VIIRS,n,2.0NRT,283.32,5.88,D
34890,46.9426,32.09301,336.06,0.49,0.65,2022-02-27,1142,1,VIIRS,n,2.0NRT,283.12,3.22,D
34891,46.59143,32.79539,331.32,0.53,0.67,2022-02-27,1142,1,VIIRS,n,2.0NRT,282.7,3.13,D
34921,48.46217,22.8141,338.57,0.57,0.43,2022-02-27,1142,1,VIIRS,n,2.0NRT,284.28,7.15,D
34924,48.46616,22.81339,347.78,0.57,0.43,2022-02-27,1142,1,VIIRS,n,2.0NRT,287.6,12.7,D
34925,48.46396,22.81314,354.31,0.57,0.43,2022-02-27,1142,1,VIIRS,n,2.0NRT,289.44,20.37,D
34933,50.60149,30.28694,333.19,0.42,0.61,2022-02-27,1144,1,VIIRS,n,2.0NRT,282.2,2.88,D
34934,50.60733,30.29282,327.01,0.42,0.61,2022-02-27,1144,1,VIIRS,n,2.0NRT,281.25,4.33,D
34936,50.65031,30.1685,327.14,0.42,0.61,2022-02-27,1144,1,VIIRS,n,2.0NRT,276.43,2.57,D
34950,50.67608,30.05909,335.73,0.42,0.61,2022-02-27,1144,1,VIIRS,n,2.0NRT,278.47,9.18,D
34952,50.67027,30.05325,337.46,0.41,0.61,2022-02-27,1144,1,VIIRS,n,2.0NRT,279.88,4.3,D
34953,50.67593,30.05309,342.17,0.41,0.61,2022-02-27,1144,1,VIIRS,n,2.0NRT,279.33,4.3,D
34954,50.65213,30.16595,334.11,0.42,0.61,2022-02-27,1144,1,VIIRS,n,2.0NRT,276.9,3.17,D
34955,50.66745,30.07475,348.27,0.42,0.61,2022-02-27,1144,1,VIIRS,n,2.0NRT,279.65,7.86,D
34957,50.66733,30.06884,341.69,0.42,0.61,2022-02-27,1144,1,VIIRS,n,2.0NRT,281.5,7.38,D
34958,51.20555,29.5143,336.14,0.4,0.6,2022-02-27,1144,1,VIIRS,n,2.0NRT,281.7,3.53,D
48017,51.00368,34.91112,302.75,0.39,0.36,2022-02-27,2356,1,VIIRS,n,2.0NRT,268.33,0.71,N
48018,51.40815,31.15473,308,0.4,0.37,2022-02-27,2356,1,VIIRS,n,2.0NRT,269.74,1.09,N
48019,51.53489,31.33893,296.05,0.4,0.37,2022-02-27,2356,1,VIIRS,n,2.0NRT,269.7,0.46,N
48024,50.06529,36.62282,328.84,0.43,0.38,2022-02-27,2356,1,VIIRS,n,2.0NRT,272.44,11.15,N
48025,50.82449,29.6531,312.66,0.42,0.38,2022-02-27,2356,1,VIIRS,n,2.0NRT,265.53,1.48,N
48026,51.06995,25.40172,305.48,0.39,0.44,2022-02-27,2356,1,VIIRS,n,2.0NRT,269.02,0.72,N
48029,47.86908,35.15503,301.25,0.42,0.38,2022-02-27,2356,1,VIIRS,n,2.0NRT,270.98,1.06,N
48030,50.34768,30.3971,311.71,0.4,0.37,2022-02-27,2356,1,VIIRS,n,2.0NRT,263.33,1.43,N
48036,47.86805,35.16051,317.8,0.42,0.38,2022-02-27,2356,1,VIIRS,n,2.0NRT,273.21,2.94,N
48037,46.82557,33.33382,309.54,0.4,0.37,2022-02-27,2356,1,VIIRS,n,2.0NRT,269.26,1.04,N
48039,47.87156,33.41488,316.83,0.39,0.36,2022-02-27,2356,1,VIIRS,n,2.0NRT,269.95,2.23,N
48040,47.86676,35.14813,302.24,0.42,0.38,2022-02-27,2356,1,VIIRS,n,2.0NRT,273.55,1.66,N
48041,47.86003,35.14535,300.24,0.42,0.38,2022-02-27,2356,1,VIIRS,n,2.0NRT,272.62,1.02,N
48042,47.86952,33.44698,329.07,0.39,0.36,2022-02-27,2356,1,VIIRS,n,2.0NRT,272.4,4.17,N
48044,50.41577,29.80086,300.82,0.41,0.37,2022-02-27,2356,1,VIIRS,n,2.0NRT,267.36,0.9,N
48045,47.88072,35.18953,300.26,0.42,0.38,2022-02-27,2356,1,VIIRS,n,2.0NRT,270.35,1.21,N
48046,47.87943,35.17713,295,0.42,0.38,2022-02-27,2356,1,VIIRS,n,2.0NRT,269.46,0.58,N
48052,50.41315,29.79975,305,0.41,0.37,2022-02-27,2356,1,VIIRS,n,2.0NRT,268.63,1.37,N
48058,49.18143,33.45979,302.23,0.39,0.36,2022-02-27,2356,1,VIIRS,n,2.0NRT,272.76,1.03,N
