,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
38,48.96915,37.82042,300.8,0.39,0.6,2022-05-01,35,1,VIIRS,n,2.0NRT,275.12,1.08,N
41,50.04175,36.47353,295.12,0.32,0.55,2022-05-01,35,1,VIIRS,n,2.0NRT,273.13,1.08,N
42,50.07824,36.52142,300.07,0.32,0.55,2022-05-01,35,1,VIIRS,n,2.0NRT,272.73,0.68,N
94,49.39619,27.39835,300.81,0.45,0.39,2022-05-01,35,1,VIIRS,n,2.0NRT,272.78,0.88,N
95,49.39521,27.39911,295.49,0.45,0.39,2022-05-01,35,1,VIIRS,n,2.0NRT,272.62,0.52,N
107,49.82566,27.8242,295.54,0.46,0.39,2022-05-01,35,1,VIIRS,n,2.0NRT,271.5,0.59,N
112,47.82799,36.57658,297.52,0.38,0.59,2022-05-01,35,1,VIIRS,n,2.0NRT,274.81,0.6,N
117,48.21495,38.2462,303.32,0.43,0.62,2022-05-01,35,1,VIIRS,n,2.0NRT,267.77,0.71,N
118,51.40179,24.79717,301.66,0.39,0.36,2022-05-01,35,1,VIIRS,n,2.0NRT,266.9,0.95,N
119,48.16405,30.61539,296.9,0.41,0.45,2022-05-01,35,1,VIIRS,n,2.0NRT,278.45,0.85,N
128,48.97532,24.71128,305.99,0.4,0.37,2022-05-01,35,1,VIIRS,n,2.0NRT,277.42,1.11,N
151,47.85976,33.45057,336.48,0.55,0.51,2022-05-01,35,1,VIIRS,n,2.0NRT,278.71,9.53,N
152,47.63168,34.32175,299.18,0.61,0.54,2022-05-01,35,1,VIIRS,n,2.0NRT,274.28,4.2,N
153,47.62959,34.32941,329.83,0.61,0.54,2022-05-01,35,1,VIIRS,n,2.0NRT,276.67,4.2,N
217,44.77607,33.86217,301.59,0.36,0.57,2022-05-01,37,1,VIIRS,n,2.0NRT,278.94,0.84,N
12680,49.26733,40.14133,344.09,0.67,0.74,2022-05-01,841,1,VIIRS,n,2.0NRT,293.28,10.57,D
14581,46.37376,32.28443,336.11,0.47,0.39,2022-05-01,1019,1,VIIRS,n,2.0NRT,301.91,4.7,D
14582,47.53477,37.85906,331.47,0.39,0.36,2022-05-01,1019,1,VIIRS,n,2.0NRT,301.37,1.95,D
14585,47.50594,35.78851,346.55,0.39,0.36,2022-05-01,1019,1,VIIRS,n,2.0NRT,306.71,3.31,D
14586,47.50513,35.78347,336.2,0.39,0.36,2022-05-01,1019,1,VIIRS,n,2.0NRT,302.94,3.31,D
14587,47.50432,35.77843,339.32,0.39,0.36,2022-05-01,1019,1,VIIRS,n,2.0NRT,306.93,5.48,D
14588,47.50919,35.78737,333.31,0.39,0.36,2022-05-01,1019,1,VIIRS,l,2.0NRT,307.01,3.31,D
14589,47.50838,35.78233,333.92,0.39,0.36,2022-05-01,1019,1,VIIRS,n,2.0NRT,307.58,3.31,D
14590,47.5775,36.10915,332.31,0.38,0.36,2022-05-01,1019,1,VIIRS,n,2.0NRT,300.63,2.07,D
14592,47.8389,36.69449,332.74,0.38,0.36,2022-05-01,1019,1,VIIRS,n,2.0NRT,303.39,1.88,D
14593,47.84216,36.69341,331.55,0.38,0.36,2022-05-01,1019,1,VIIRS,n,2.0NRT,304.61,1.88,D
14594,47.8441,36.66086,333.46,0.38,0.36,2022-05-01,1019,1,VIIRS,n,2.0NRT,302.54,2.86,D
14595,48.10419,37.7695,346.28,0.39,0.36,2022-05-01,1019,1,VIIRS,n,2.0NRT,304.39,7.24,D
14633,48.62124,38.37553,333.15,0.4,0.37,2022-05-01,1021,1,VIIRS,n,2.0NRT,298.84,3.72,D
14634,48.62103,38.36756,333.43,0.4,0.37,2022-05-01,1021,1,VIIRS,n,2.0NRT,297.43,5.53,D
14636,49.06308,38.18436,348.49,0.4,0.37,2022-05-01,1021,1,VIIRS,n,2.0NRT,297.78,8.09,D
